01682,924
00417,640
25328,687
86462,975
19868,084
72878,980
41830,006
79307,025
89726,304
35992,358
81162,468
51042,501
96261,609
90844,079
09736,848
75818,119
19914,496
28668,961
63001,172
88102,493
84296,536
78731,838
44442,725
53442,379
23837,147
39813,709
46148,383
64598,356
30575,052
06558,529
09519,366
83734,035
72874,236
11567,181
33436,389
06036,904
68767,086
48122,815
96256,361
05824,140
82765,207
36875,096
21336,359
73169,233
74340,791
33748,187
74981,200
52515,180
95590,161
18336,692
91036,313
62800,881
09571,205
13642,896
55602,864
94662,599
94610,733
45818,638
34058,614
25046,074
44660,416
29179,827
56830,643
83647,395
96115,310
15527,162
06375,047
60364,947
04032,333
16498,973
33648,639
37848,677
19868,235
85792,305
45771,114
46129,049
48593,998
58109,142
55656,781
73081,576
77166,739
64042,529
77434,138
70972,561
70683,988
02943,238
69629,227
67398,468
11553,075
06169,981
03439,051
09978,846
45321,315
87177,668
18483,450
26210,104
14660,763
82033,044
96484,788
79056,226
05118,819
69949,808
68348,194
93345,175
83905,006
39774,500
90848,217
97120,232
40845,211
78675,568
33414,853
74508,674
26794,588
34730,926
54736,379
67047,100
70196,165
13795,790
48885,359
61007,235
79548,196
39959,500
63812,301
84569,576
09279,591
17984,812
55309,121
34931,338
25532,548
02937,937
95479,507
30468,994
01320,643
85465,779
21260,449
38712,204
57896,772
33928,436
81928,401
34945,660
74971,991
97462,513
83415,897
21494,090
87646,441
95899,827
81935,951
30221,019
30137,459
19059,458
28261,480
80458,756
29112,947
32371,509
78410,543
87270,891
61387,740
18262,526
05933,463
72771,892
70484,694
65298,772
43876,680
23944,525
53394,391
99430,021
74291,167
18798,898
72306,744
00843,260
09163,920
90948,584
06845,000
12266,888
92288,658
95444,926
85417,981
25281,698
28090,168
66681,335
04780,264
20442,072
98900,084
51820,124
45627,047
94476,815
71356,032
22252,273
62528,207
15501,461
43152,988
51156,021
05188,305
67259,304
48667,299
61806,842
92720,073
23541,714
91069,690
79486,324
46828,276
64600,618
80262,250
35674,049
68227,192
74610,785
52286,151
31421,941
71037,368
79139,902
53620,508
98708,526
55234,349
78141,931
89377,111
01680,181
78235,485
00168,842
50662,227
22621,328
55878,996
47216,637
70367,735
46580,645
17986,692
76287,037
33474,942
41381,205
